Device: PMTC0000    Date: 18.01.2017
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
PHD1K000;$3;$1D;$28;u16;A;NV;0;10000;Offset;%u;ADC offset;200
UCP     ;$4;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware version; 91130
PHD1K000;$5;$18;$0;u16;ArUrSr;;0;65535;Data;%u;Data;0
PHD1K000;$5;$11;$1;float;ArUrSr;;0;3.40282346638529E38;Mean;%f;Mean;0
PHD1K000;$5;$12;$2;u16;ArUrSr;;0;10000;StdDev;%.2f%;Standard deviation;0.00
PHD1K000;$5;$13;$3;float;ArUrSr;;0;3.40282346638529E38;Min;%f;Minimum;0
PHD1K000;$5;$14;$4;float;ArUrSr;;0;3.40282346638529E38;Max;%f;Maximum;0
PHD1K000;$5;$15;$5;u16;AUS;NV;10;65535;Batch;%upulses;Batch size;65535
PHD1K000;$5;$16;$6;u8;AS;NV;0;8;Atten;[/1,/2,/4,/8,/16,/32,/64,/128,/256];Attenuator position;/1
PHD1K000;$5;$FF;$10;;;;;;;;Acquisition mode;
PHD1K000;$5;$17;$11;u8;AS;NV;0;2;SyncM;[RISE,FALL,POLL];Sync mode;RISE
PHD1K000;$5;$FF;$20;;;;;;;;Calibrate;
PHD1K000;$5;$19;$21;float;AS;NV;1.17549435082229E-38;3.40282346638529E38;Limit;%f;Energy limit;2E018
PHD1K000;$5;$1A;$25;float;A;NV;1.17549435082229E-38;9.99999968028569E37;CalConst;%f;Calibrate constant;1
PHD1K000;$5;$1D;$28;u16;A;NV;0;10000;Offset;%u;ADC offset;0
PHD1K000;$5;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Version PHDMET16;110413
SM4Ar4  ;$B;$10;$0;u8;AUS;NV;0;2;Mode0;[RAMP,SOFT,VELOCITY];Motor 0 mode;VELOCITY
SM4Ar4  ;$B;$11;$1;s32;AUS;;-8388608;8388607;TrgPos0;%d;Target position 0;0
SM4Ar4  ;$B;$12;$2;s32;ArUrSr;;-8388608;8388607;CurPos0;%d;Current position 0;0
SM4Ar4  ;$B;$13;$3;s16;AUS;;-2048;2047;v_target;%d;Target speed (velocity mode);0
SM4Ar4  ;$B;$14;$4;u8;AUS;;0;3;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status 0;IDLE
SM4Ar4  ;$B;$15;$5;u8;AUS;NV;0;2;Mode1;[RAMP,SOFT,VELOCITY];Motor 1 mode;VELOCITY
SM4Ar4  ;$B;$16;$6;s32;AUS;;-8388608;8388607;TrgPos1;%d;Target position 1;0
SM4Ar4  ;$B;$17;$7;s32;ArUrSr;;-8388608;8388607;CurPos1;%d;Current position 1;0
SM4Ar4  ;$B;$18;$8;s16;AUS;;-2048;2047;v_target1;%d;Target speed (velocity mode) 1;0
SM4Ar4  ;$B;$19;$9;u8;AUS;;0;3;status1;[IDLE,RUNNING,TO_HOME,FAILURE];Status 1;IDLE
SM4Ar4  ;$B;$1A;$A;u8;AUS;NV;0;2;Mode2;[RAMP,SOFT,VELOCITY];Motor 2 mode;VELOCITY
SM4Ar4  ;$B;$1B;$B;s32;AUS;;-8388608;8388607;TrgPos2;%d;Target position 2;0
SM4Ar4  ;$B;$1C;$C;s32;ArUrSr;;-8388608;8388607;CurPos2;%d;Current position 2;0
SM4Ar4  ;$B;$1D;$D;s16;AUS;;-2048;2047;v_target2;%d;Target speed (velocity mode) 2;0
SM4Ar4  ;$B;$1E;$E;u8;AUS;;0;3;status2;[IDLE,RUNNING,TO_HOME,FAILURE];Status 2;IDLE
SM4Ar4  ;$B;$FF;$10;;;;;;;;Motor 0 Setup;
SM4Ar4  ;$B;$1F;$11;u8;AUrS;NV;0;6;usrs0;[1/1,1/2,1/4,1/8,1/16,1/32,1/64];Microstep resolution;1/4
SM4Ar4  ;$B;$20;$12;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity, physical;200
SM4Ar4  ;$B;$21;$13;u16;AUrS;NV;0;2047;v_max;%u;Maximum motor velocity;1677
SM4Ar4  ;$B;$22;$14;u16;AUrS;NV;1;2047;v_min;%u;Minimum motor velocity;160
SM4Ar4  ;$B;$23;$15;u16;AUrS;NV;0;2047;a_max;%u;Maximum acceleration;500
SM4Ar4  ;$B;$24;$16;u16;AUrS;NV;0;2047;a_thresh;%u;Boosted acceleration;200
SM4Ar4  ;$B;$25;$17;u8;AUrS;NV;1;8;is_agtat;%u/8;Current scaling boosted;8
SM4Ar4  ;$B;$26;$18;u8;AUrS;NV;1;8;is_aleat;%u/8;Current scaling normal;8
SM4Ar4  ;$B;$27;$19;u8;AUrS;NV;1;8;is_v0;%u/8;Current scaling idle;1
SM4Ar4  ;$B;$28;$1A;u8;AUrS;NV;0;102;current0;%u;Winding current;20
SM4Ar4  ;$B;$29;$1B;u8;AUrS;NV;0;3;blank0;[0.6us,0.9us,1.2us,1.5us];Blank Time;1.5us
SM4Ar4  ;$B;$2A;$1C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;LEFT or RIGHT
SM4Ar4  ;$B;$2B;$1D;u8;AUrS;NV;0;1;ref_pol0;[ACT_CLOSE,ACT_OPEN];Reference polarity;ACT_CLOSE
SM4Ar4  ;$B;$2C;$1E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Soft stop;SOFT
SM4Ar4  ;$B;$2D;$1F;u8;AUrS;NV;0;3;homingm0;[DISABLED/DONE,FALL,RISE,PRECFALL];Reference search mode/status;DISABLED/DONE
SM4Ar4  ;$B;$FF;$20;;;;;;;;Motor 1 Setup;
SM4Ar4  ;$B;$2E;$21;u8;AUrS;NV;0;6;usrs0;[1/1,1/2,1/4,1/8,1/16,1/32,1/64];Microstep resolution;1/1
SM4Ar4  ;$B;$2F;$22;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity, physical;200
SM4Ar4  ;$B;$30;$23;u16;AUrS;NV;0;2047;v_max;%u;Maximum motor velocity;1677
SM4Ar4  ;$B;$31;$24;u16;AUrS;NV;1;2047;v_min;%u;Minimum motor velocity;160
SM4Ar4  ;$B;$32;$25;u16;AUrS;NV;0;2047;a_max;%u;Maximum acceleration;500
SM4Ar4  ;$B;$33;$26;u16;AUrS;NV;0;2047;a_thresh;%u;Boosted acceleration;500
SM4Ar4  ;$B;$34;$27;u8;AUrS;NV;1;8;is_agtat;%u/8;Current scaling boosted;8
SM4Ar4  ;$B;$35;$28;u8;AUrS;NV;1;8;is_aleat;%u/8;Current scaling normal;8
SM4Ar4  ;$B;$36;$29;u8;AUrS;NV;1;8;is_v0;%u/8;Current scaling idle;1
SM4Ar4  ;$B;$37;$2A;u8;AUrS;NV;0;102;current0;%u;Winding current;20
SM4Ar4  ;$B;$38;$2B;u8;AUrS;NV;0;3;blank0;[0.6us,0.9us,1.2us,1.5us];Blank Time;1.5us
SM4Ar4  ;$B;$39;$2C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;LEFT or RIGHT
SM4Ar4  ;$B;$3A;$2D;u8;AUrS;NV;0;1;ref_pol0;[ACT_CLOSE,ACT_OPEN];Reference polarity;ACT_CLOSE
SM4Ar4  ;$B;$3B;$2E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Soft stop;SOFT
SM4Ar4  ;$B;$3C;$2F;u8;AUrS;NV;0;3;homingm0;[DISABLED/DONE,FALL,RISE,PRECFALL];Reference search mode/status;DISABLED/DONE
SM4Ar4  ;$B;$FF;$30;;;;;;;;Motor 2 Setup;
SM4Ar4  ;$B;$3D;$31;u8;AUrS;NV;0;6;usrs0;[1/1,1/2,1/4,1/8,1/16,1/32,1/64];Microstep resolution;1/1
SM4Ar4  ;$B;$3E;$32;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity, physical;200
SM4Ar4  ;$B;$3F;$33;u16;AUrS;NV;0;2047;v_max;%u;Maximum motor velocity;1677
SM4Ar4  ;$B;$40;$34;u16;AUrS;NV;1;2047;v_min;%u;Minimum motor velocity;500
SM4Ar4  ;$B;$41;$35;u16;AUrS;NV;0;2047;a_max;%u;Maximum acceleration;1000
SM4Ar4  ;$B;$42;$36;u16;AUrS;NV;0;2047;a_thresh;%u;Boosted acceleration;500
SM4Ar4  ;$B;$43;$37;u8;AUrS;NV;1;8;is_agtat;%u/8;Current scaling boosted;8
SM4Ar4  ;$B;$44;$38;u8;AUrS;NV;1;8;is_aleat;%u/8;Current scaling normal;8
SM4Ar4  ;$B;$45;$39;u8;AUrS;NV;1;8;is_v0;%u/8;Current scaling idle;1
SM4Ar4  ;$B;$46;$3A;u8;AUrS;NV;0;102;current0;%u;Winding current;20
SM4Ar4  ;$B;$47;$3B;u8;AUrS;NV;0;3;blank0;[0.6us,0.9us,1.2us,1.5us];Blank Time;1.5us
SM4Ar4  ;$B;$48;$3C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;LEFT or RIGHT
SM4Ar4  ;$B;$49;$3D;u8;AUrS;NV;0;1;ref_pol0;[ACT_CLOSE,ACT_OPEN];Reference polarity;ACT_CLOSE
SM4Ar4  ;$B;$4A;$3E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Soft stop;SOFT
SM4Ar4  ;$B;$4B;$3F;u8;AUrS;NV;0;3;homingm0;[DISABLED/DONE,FALL,RISE,PRECFALL];Reference search mode/status;DISABLED/DONE
SM4Ar4  ;$B;$FF;$40;;;;;;;;Diagnostic information;
SM4Ar4  ;$B;$4C;$41;u8;ArUrSr;;0;7;load0;%u;Motor load indicator 0;0
SM4Ar4  ;$B;$4D;$42;u8;ArUrSr;;0;7;load1;%u;Motor load indicator 1;0
SM4Ar4  ;$B;$4E;$43;u8;ArUrSr;;0;7;load2;%u;Motor load indicator 2;0
SM4Ar4  ;$B;$4F;$44;u8;ArUrSr;;0;255;err0;%u;Errors bits channel 0;8
SM4Ar4  ;$B;$50;$45;u8;ArUrSr;;0;255;err1;%u;Errors bits channel 1;8
SM4Ar4  ;$B;$51;$46;u8;ArUrSr;;0;255;err2;%u;Errors bits channel 2;8
SM4Ar4  ;$B;$FF;$50;;;;;;;;Manipulator;
SM4Ar4  ;$B;$52;$51;u8;AUS;NV;0;7;KB;[OFF,X,Y,XY,Z,XZ,XY,XYZ];Manipulator enable for axes;XYZ
SM4Ar4  ;$B;$53;$52;u16;ArUrSr;;0;1023;Xaxis;%u;Xaxis ADC;4
SM4Ar4  ;$B;$54;$53;u16;AUS;NV;0;1023;Xzero;%u;Zero position, X axis;4
SM4Ar4  ;$B;$55;$54;u16;AUS;NV;0;1023;Xdead;%u;Dead band X;30
SM4Ar4  ;$B;$56;$55;s16;AUS;NV;-32768;32767;Xsens;%d;X axis sensivity;-32767
SM4Ar4  ;$B;$57;$56;u16;ArUrSr;;0;1023;Yaxis;%u;Y axis ADC;1
SM4Ar4  ;$B;$58;$57;u16;AUS;NV;0;1023;Yzero;%u;Zero position, Y axis;1
SM4Ar4  ;$B;$59;$58;u16;AUS;NV;0;1023;Ydead;%u;Dead band Y;30
SM4Ar4  ;$B;$5A;$59;s16;AUS;NV;-32768;32767;Ysens;%d;Y axis sensivity;-32768
SM4Ar4  ;$B;$5B;$5A;s8;ArUrSr;;-1;1;SW;%d;Switch position;0
SM4Ar4  ;$B;$5C;$5B;s16;AUS;NV;-32768;32767;SWsens;%d;Z axis switch sensivity;5000
SM4Ar4  ;$B;$FF;$60;;;;;;;;Common;
SM4Ar4  ;$B;$5D;$61;u8;AUrS;NV;0;1;HIC0;[OFF,ON];High current 0;ON
SM4Ar4  ;$B;$5E;$62;u8;AUrS;NV;0;1;HIC1;[OFF,ON];High current 1;ON
SM4Ar4  ;$B;$5F;$63;u8;AUrS;NV;0;1;HIC2;[OFF,ON];High current 2;ON
SM4Ar4  ;$B;$60;$64;u8;AUrS;NV;0;255;PWMA1;%u;High current output A1;255
SM4Ar4  ;$B;$61;$65;u8;AUrS;NV;0;255;PWMB1;%u;High current output B1;255
SM4Ar4  ;$B;$62;$66;u8;AUrS;NV;0;255;PWMA2;%u;High current output A2;255
SM4Ar4  ;$B;$63;$67;u8;AUrS;NV;0;255;PWMB2;%u;High current output B2;255
SM4Ar4  ;$B;$64;$68;u8;ArUrSr;;0;255;switches0;%u;Switch status 0;0
SM4Ar4  ;$B;$65;$69;u8;ArUrSr;;0;255;switches1;%u;Switch status 1;0
SM4Ar4  ;$B;$66;$69;u8;ArUrSr;;0;255;switches2;%u;Switch status 2;0
SM4Ar4  ;$B;$9;$F;u32;ArUrSr;;0;4294967295;Version;%08u;Version;  100303
LDM6A   ;$10;$10;$0;u8;AUS;NV;0;1;State;[OFF,ON,FAULT];Power;OFF
LDM6A   ;$10;$11;$1;u8;AUS;;0;1;LDon;[OFF,ON];Diode current ON;ON
LDM6A   ;$10;$12;$2;u16;AUrS;NV;0;1000;Iset;%.2fA;Set Current;2.10
LDM6A   ;$10;$13;$3;u16;ArUrSr;;0;1000;Idisp;%.2fA;Display Current;0.01
LDM6A   ;$10;$17;$7;u16;ArUrSr;;0;2500;Pi;%.2fW;LD power;0.00
LDM6A   ;$10;$18;$8;u16;ArUrSr;;0;250;Vld;%.2fV;Voltage on LD;0.00
LDM6A   ;$10;$19;$9;u8;ArUrSr;;0;3;Fault;[NONE,DRIVER,COOLING,INTERLOCK];Fault source;NONE
LDM6A   ;$10;$1A;$A;u16;ArUrSr;;0;65535;Fcode;%xHEX;Fault code;0
LDM6A   ;$10;$1B;$B;u32;AUrS;NV;0;4294967295;Time;%us;Work seconds;15897694
LDM6A   ;$10;$FF;$10;;;;;;;;Setup;
LDM6A   ;$10;$1D;$12;u16;AUrS;NV;0;1000;Ilim;%.2fA;Set current Limit;3.00
LDM6A   ;$10;$1F;$14;u8;AUrS;NV;0;1;dI;[SLOW,FAST];Current slew rate;SLOW
LDM6A   ;$10;$22;$17;u16;ArUrSr;;0;1000;CurLimM;%.2fA;Current limit median;4.00
LDM6A   ;$10;$24;$19;u16;AUrSr;NV;100;2500;PhdMax;%.2fW;LD power limit;12.50
LDM6A   ;$10;$2C;$41;u8;AUrS;NV;0;1;IdispDiv;[6.6A-version,10A-version];Current divider;6.6A-version
LDM6A   ;$10;$FF;$20;;;;;;;;Interlocks;
LDM6A   ;$10;$26;$21;u8;AUrS;NV;0;1;IntlES;[ON,Defeat];External interlock on/off;ON
LDM6A   ;$10;$27;$22;u8;AUrS;NV;0;1;IntlCS;[ON,Defeat];Cooling interlock on/off;ON
LDM6A   ;$10;$28;$23;u8;ArUrSr;;0;2;IntlED;[OK,NOT OK,Defeated];External interlock state;OK
LDM6A   ;$10;$29;$24;u8;ArUrSr;;0;2;IntlCD;[OK,NOT OK,Defeated];Cooling interlock state;OK
LDM6A   ;$10;$FF;$30;;;;;;;;Feedback photodiode;
LDM6A   ;$10;$2A;$31;u16;ArUrSr;;0;1023;PhdOut;%u;Feedback photodiode output;0
LDM6A   ;$10;$2B;$32;u16;AUrS;NV;0;1023;PhdSet;%u;Keep feedback photodiode level;0
LDM6A   ;$10;$FF;$40;;;;;;;;TEC;
LDM6A   ;$10;$31;$41;u8;AUrS;NV;0;1;TECState;[OFF,ON,FAULT];TEC Power;ON
LDM6A   ;$10;$32;$41;s16;ArUrSr;;-2744;5000;Tdisp;%.2fC;Display temperature;29.99
LDM6A   ;$10;$33;$41;s16;AUrS;NV;-2744;5000;Tset;%.2fC;Set temperature;30.00
LDM6A   ;$10;$34;$41;u8;ArUrSr;;0;1;Stable;[Not Stable,Stable];Stable;Stable
LDM6A   ;$10;$35;$41;s16;AUrSr;NV;2000;5000;TsetMax;%.2fC;Set temperature upper limit;50.00
LDM6A   ;$10;$36;$41;s16;AUrSr;NV;-2744;3000;TsetMin;%.2fC;Set temperature lower limit;-30.00
LDM6A   ;$10;$37;$41;float;A;NV;-3.40282346638529E38;3.40282346638529E38;Kp;%.6f;Kp;0.738377
LDM6A   ;$10;$38;$41;float;A;NV;-3.40282346638529E38;3.40282346638529E38;Ki;%.6f;Ki;0.095511
LDM6A   ;$10;$39;$41;float;A;NV;-3.40282346638529E38;3.40282346638529E38;Kd;%.6f;Kd;2.617500
LDM6A   ;$10;$3A;$41;u8;A;;0;1;Manual;[OFF,ON];Manual control;OFF
LDM6A   ;$10;$3B;$41;s16;ASr;;-354;610;TECDrive;%d;PID output;-73
LDM6A   ;$10;$3C;$41;s16;A;NV;-353;610;TECDriveMax;%d;PID output max;610
LDM6A   ;$10;$3D;$41;s16;A;NV;-354;610;TECDriveMin;%d;PID output min;-610
LDM6A   ;$10;$3E;$41;u16;AS;NV;1;1000;StabWnd;%.2f C;Stability window;1.50
LDM6A   ;$10;$3F;$41;u16;AS;NV;0;120;StabTim;%u s;Time to stay in window to be considered stable;10
LDM6A   ;$10;$44;$41;u16;AS;NV;2500;4500;NTCTC;%u K;NTC sensor TC;3892
LDM6A   ;$10;$45;$41;u16;AS;NV;3000;25000;R0;%u Ohm;NTC sensor resistance at 25degC;10000
LDM6A   ;$10;$41;$41;float;ArSr;;-3.40282346638529E38;3.40282346638529E38;Rdisp;%g Ohm;Measured sensor resistance;8057.072265625
LDM6A   ;$10;$42;$41;s16;ArSr;;-244;500;TECVoltage;%.2fV;TEC Voltage;-0.25
LDM6A   ;$10;$43;$41;s16;ArSr;;-994;1250;TECCurrent;%.2fA;TEC Current;-0.17
LDM6A   ;$10;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware version;100304
LDM150A ;$11;$10;$0;u8;AUS;NV;0;1;State;[OFF,ON,FAULT];Power;OFF
LDM150A ;$11;$11;$1;u8;AUS;;0;1;LDon;[OFF,ON];Diode current ON;ON
LDM150A ;$11;$12;$2;u16;AUrS;NV;0;50000;Iset;%.2fA;Set Current;68.00
LDM150A ;$11;$13;$3;u16;ArUrSr;;0;15000;Idisp;%.2fA;Display Current;199.80
LDM150A ;$11;$14;$4;u16;ArUrSr;;0;15000;Imean;%.2fA;Mean Current;0.19
LDM150A ;$11;$17;$7;u16;ArUrSr;;0;13954;Pi;%.2fW;Current source power;0.37
LDM150A ;$11;$18;$8;u16;ArUrSr;;0;11330;Vld;%.2fV;Voltage on LD source;5.61
LDM150A ;$11;$30;$8;u16;AUS;NV;50;200;PulseW;%u us;Pulse width;152
LDM150A ;$11;$2F;$8;u16;AUS;NV;50;8000;SyncDly;%u us;SyncIn->Pulse delay;860
LDM150A ;$11;$46;$8;u8;AUrS;NV;0;1;SyncMode;[Internal,External];Synchronization mode;External
LDM150A ;$11;$47;$8;u16;AUrS;NV;1;1100;RepRate;%.1f Hz;Repetition rate (repetition rate limit);60.0
LDM150A ;$11;$19;$9;u8;ArUrSr;;0;3;Fault;[NONE,DRIVER,COOLING,INTERLOCK];Fault source;NONE
LDM150A ;$11;$1A;$A;u16;ArUrSr;;0;65535;Fcode;%xHEX;Fault code;0
LDM150A ;$11;$1B;$B;u32;AUrS;NV;0;4294967295;Time;%u;Pulse counter;589882127
LDM150A ;$11;$FF;$10;;;;;;;;Setup;
LDM150A ;$11;$1D;$12;u16;AUrS;NV;0;50000;Ilim;%.2fA;Set current Limit;140.00
LDM150A ;$11;$16;$15;u16;AUrS;NV;113;612;Vsrc;%.2f V;Set LD current source voltage;5.50
LDM150A ;$11;$22;$17;u16;ArUrSr;;0;20000;CurLimM;%.2fA;Peak current limit (hardware);144.92
LDM150A ;$11;$24;$19;u16;AUrSr;NV;100;2500;PhdMax;%.2fW;Current source power limit;15.00
LDM150A ;$11;$25;$1A;s16;AUrS;NV;-3000;3000;CalIset;%d;Calibrate set current;0
LDM150A ;$11;$2D;$1C;u16;AUrS;NV;0;4000;SampWndLo;%u us;Start peak current sampling window;60
LDM150A ;$11;$2E;$1C;u16;AUrS;NV;60;4000;SampWndHi;%u us;Stop peak current sampling window;120
LDM150A ;$11;$FF;$20;;;;;;;;Interlocks;
LDM150A ;$11;$26;$21;u8;AUrS;NV;0;1;IntlES;[ON,Defeat];External interlock on/off;ON
LDM150A ;$11;$27;$22;u8;AUrS;NV;0;1;IntlCS;[ON,Defeat];Cooling interlock on/off;ON
LDM150A ;$11;$28;$23;u8;ArUrSr;;0;2;IntlED;[OK,NOT OK,Defeated];External interlock state;OK
LDM150A ;$11;$29;$24;u8;ArUrSr;;0;2;IntlCD;[OK,NOT OK,Defeated];Cooling interlock state;OK
LDM150A ;$11;$FF;$30;;;;;;;;Feedback photodiode;
LDM150A ;$11;$2A;$31;u16;ArUrSr;;0;1023;PhdOut;%u;Feedback photodiode output;0
LDM150A ;$11;$2B;$32;u16;AUrS;NV;0;1023;PhdSet;%u;Keep feedback photodiode level;0
LDM150A ;$11;$FF;$40;;;;;;;;TEC;
LDM150A ;$11;$31;$41;u8;AUrS;NV;0;1;TECState;[OFF,ON,FAULT];TEC Power;ON
LDM150A ;$11;$32;$41;s16;ArUrSr;;-200;4600;Tdisp;%.2fC;Display temperature;22.00
LDM150A ;$11;$33;$41;s16;AUrS;NV;-200;4600;Tset;%.2fC;Set temperature;22.00
LDM150A ;$11;$34;$41;u8;ArUrSr;;0;1;Stable;[Not Stable,Stable];Stable;Stable
LDM150A ;$11;$35;$41;s16;AUrSr;NV;2000;4600;TsetMax;%.2fC;Set temperature upper limit;30.00
LDM150A ;$11;$36;$41;s16;AUrSr;NV;-200;3000;TsetMin;%.2fC;Set temperature lower limit;20.00
LDM150A ;$11;$37;$41;float;A;NV;-3.40282346638529E38;3.40282346638529E38;Kp;%.6f;Kp;0.511364
LDM150A ;$11;$38;$41;float;A;NV;-3.40282346638529E38;3.40282346638529E38;Ki;%.6f;Ki;0.071429
